name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used was BIORON 50bp DNA ladder (free of loading dye)
# Samples were diluted with bottled water.
# DNA concentrations:
# TU1: 160    ug/ml
# TU2:  80    ug/ml
# TU3:  40    ug/ml
# TU4:  20    ug/ml
# TU5:  10    ug/ml
# TU6:   5    ug/ml
# TU7:   2.5  ug/ml
# TU8:   1.25 ug/ml
emptybox,1,14563,MAX
emptybox,1,631,HIGH
emptybox,1,37,MED
emptybox,1,1,LOW
emptybox,2,14641,MAX
emptybox,2,633,HIGH
emptybox,2,37,MED
emptybox,2,1,LOW
emptybox,3,14671,MAX
emptybox,3,634,HIGH
emptybox,3,37,MED
emptybox,3,1,LOW
emptybox,4,14688,MAX
emptybox,4,635,HIGH
emptybox,4,37,MED
emptybox,4,1,LOW
emptybox,5,14701,MAX
emptybox,5,636,HIGH
emptybox,5,37,MED
emptybox,5,1,LOW
emptybox,6,14710,MAX
emptybox,6,636,HIGH
emptybox,6,37,MED
emptybox,6,1,LOW
emptybox,7,14722,MAX
emptybox,7,636,HIGH
emptybox,7,37,MED
emptybox,7,1,LOW
emptybox,8,14729,MAX
emptybox,8,637,HIGH
emptybox,8,37,MED
emptybox,8,2,LOW
emptybox,9,14735,MAX
emptybox,9,637,HIGH
emptybox,9,37,MED
emptybox,9,1,LOW
emptybox,10,14740,MAX
emptybox,10,637,HIGH
emptybox,10,37,MED
emptybox,10,1,LOW
emptybox,11,14742,MAX
emptybox,11,637,HIGH
emptybox,11,37,MED
emptybox,11,1,LOW
emptybox,12,14753,MAX
emptybox,12,638,HIGH
emptybox,12,37,MED
emptybox,12,1,LOW
emptybox,13,14757,MAX
emptybox,13,638,HIGH
emptybox,13,37,MED
emptybox,13,2,LOW
emptybox,14,14756,MAX
emptybox,14,638,HIGH
emptybox,14,37,MED
emptybox,14,2,LOW
emptybox,15,14760,MAX
emptybox,15,638,HIGH
emptybox,15,37,MED
emptybox,15,1,LOW
emptybox,16,14767,MAX
emptybox,16,638,HIGH
emptybox,16,37,MED
emptybox,16,1,LOW
emptybox,17,14768,MAX
emptybox,17,639,HIGH
emptybox,17,37,MED
emptybox,17,1,LOW
emptybox,18,14767,MAX
emptybox,18,639,HIGH
emptybox,18,37,MED
emptybox,18,1,LOW
emptybox,19,14772,MAX
emptybox,19,639,HIGH
emptybox,19,37,MED
emptybox,19,1,LOW
emptybox,20,14778,MAX
emptybox,20,639,HIGH
emptybox,20,38,MED
emptybox,20,2,LOW
emptytube,1,13778,HIGH
emptytube,1,802,MED
emptytube,1,33,LOW
emptytube,2,13820,HIGH
emptytube,2,804,MED
emptytube,2,33,LOW
emptytube,3,13840,HIGH
emptytube,3,805,MED
emptytube,3,33,LOW
emptytube,4,13855,HIGH
emptytube,4,805,MED
emptytube,4,33,LOW
emptytube,5,13866,HIGH
emptytube,5,806,MED
emptytube,5,33,LOW
emptytube,6,13874,HIGH
emptytube,6,807,MED
emptytube,6,33,LOW
emptytube,7,13882,HIGH
emptytube,7,807,MED
emptytube,7,33,LOW
emptytube,8,13887,HIGH
emptytube,8,807,MED
emptytube,8,33,LOW
emptytube,9,13893,HIGH
emptytube,9,807,MED
emptytube,9,33,LOW
emptytube,10,13898,HIGH
emptytube,10,807,MED
emptytube,10,33,LOW
emptytube,11,13904,HIGH
emptytube,11,807,MED
emptytube,11,33,LOW
emptytube,12,13901,HIGH
emptytube,12,809,MED
emptytube,12,33,LOW
emptytube,13,13911,HIGH
emptytube,13,808,MED
emptytube,13,33,LOW
emptytube,14,13915,HIGH
emptytube,14,809,MED
emptytube,14,33,LOW
emptytube,15,13918,HIGH
emptytube,15,808,MED
emptytube,15,33,LOW
emptytube,16,13917,HIGH
emptytube,16,809,MED
emptytube,16,33,LOW
emptytube,17,13924,HIGH
emptytube,17,808,MED
emptytube,17,33,LOW
emptytube,18,13926,HIGH
emptytube,18,809,MED
emptytube,18,33,LOW
emptytube,19,13922,HIGH
emptytube,19,809,MED
emptytube,19,33,LOW
emptytube,20,13931,HIGH
emptytube,20,809,MED
emptytube,20,33,LOW
water,1,7520,HIGH
water,1,438,MED
water,1,18,LOW
water,2,7542,HIGH
water,2,438,MED
water,2,18,LOW
water,3,7552,HIGH
water,3,439,MED
water,3,18,LOW
water,4,7559,HIGH
water,4,439,MED
water,4,18,LOW
water,5,7565,HIGH
water,5,440,MED
water,5,18,LOW
water,6,7571,HIGH
water,6,440,MED
water,6,18,LOW
water,7,7574,HIGH
water,7,441,MED
water,7,18,LOW
water,8,7577,HIGH
water,8,440,MED
water,8,18,LOW
water,9,7580,HIGH
water,9,440,MED
water,9,18,LOW
water,10,7582,HIGH
water,10,441,MED
water,10,18,LOW
water,11,7585,HIGH
water,11,441,MED
water,11,18,LOW
water,12,7587,HIGH
water,12,440,MED
water,12,18,LOW
water,13,7590,HIGH
water,13,441,MED
water,13,18,LOW
water,14,7592,HIGH
water,14,441,MED
water,14,18,LOW
water,15,7593,HIGH
water,15,441,MED
water,15,18,LOW
water,16,7596,HIGH
water,16,442,MED
water,16,18,LOW
water,17,7597,HIGH
water,17,441,MED
water,17,18,LOW
water,18,7598,HIGH
water,18,441,MED
water,18,18,LOW
water,19,7599,HIGH
water,19,441,MED
water,19,18,LOW
water,20,7600,HIGH
water,20,442,MED
water,20,18,LOW
ctrl_dye_water,1,5117,HIGH
ctrl_dye_water,1,299,MED
ctrl_dye_water,1,12,LOW
ctrl_dye_water,2,5131,HIGH
ctrl_dye_water,2,299,MED
ctrl_dye_water,2,12,LOW
ctrl_dye_water,3,5136,HIGH
ctrl_dye_water,3,299,MED
ctrl_dye_water,3,12,LOW
ctrl_dye_water,4,5141,HIGH
ctrl_dye_water,4,300,MED
ctrl_dye_water,4,12,LOW
ctrl_dye_water,5,5145,HIGH
ctrl_dye_water,5,300,MED
ctrl_dye_water,5,12,LOW
ctrl_dye_water,6,5148,HIGH
ctrl_dye_water,6,301,MED
ctrl_dye_water,6,12,LOW
ctrl_dye_water,7,5149,HIGH
ctrl_dye_water,7,301,MED
ctrl_dye_water,7,12,LOW
ctrl_dye_water,8,5151,HIGH
ctrl_dye_water,8,300,MED
ctrl_dye_water,8,12,LOW
ctrl_dye_water,9,5152,HIGH
ctrl_dye_water,9,301,MED
ctrl_dye_water,9,12,LOW
ctrl_dye_water,10,5153,HIGH
ctrl_dye_water,10,301,MED
ctrl_dye_water,10,12,LOW
ctrl_dye_water,11,5154,HIGH
ctrl_dye_water,11,301,MED
ctrl_dye_water,11,12,LOW
ctrl_dye_water,12,5155,HIGH
ctrl_dye_water,12,301,MED
ctrl_dye_water,12,12,LOW
ctrl_dye_water,13,5153,HIGH
ctrl_dye_water,13,301,MED
ctrl_dye_water,13,12,LOW
ctrl_dye_water,14,5156,HIGH
ctrl_dye_water,14,301,MED
ctrl_dye_water,14,12,LOW
ctrl_dye_water,15,5156,HIGH
ctrl_dye_water,15,301,MED
ctrl_dye_water,15,12,LOW
ctrl_dye_water,16,5157,HIGH
ctrl_dye_water,16,301,MED
ctrl_dye_water,16,12,LOW
ctrl_dye_water,17,5158,HIGH
ctrl_dye_water,17,301,MED
ctrl_dye_water,17,12,LOW
ctrl_dye_water,18,5158,HIGH
ctrl_dye_water,18,301,MED
ctrl_dye_water,18,12,LOW
ctrl_dye_water,19,5159,HIGH
ctrl_dye_water,19,301,MED
ctrl_dye_water,19,12,LOW
ctrl_dye_water,20,5159,HIGH
ctrl_dye_water,20,301,MED
ctrl_dye_water,20,12,LOW
TU1,1,25136,HIGH
TU1,1,1461,MED
TU1,1,61,LOW
TU1,2,25213,HIGH
TU1,2,1466,MED
TU1,2,61,LOW
TU1,3,25267,HIGH
TU1,3,1469,MED
TU1,3,61,LOW
TU1,4,25312,HIGH
TU1,4,1473,MED
TU1,4,61,LOW
TU1,5,25349,HIGH
TU1,5,1474,MED
TU1,5,61,LOW
TU1,6,25387,HIGH
TU1,6,1475,MED
TU1,6,61,LOW
TU1,7,25426,HIGH
TU1,7,1479,MED
TU1,7,61,LOW
TU1,8,25462,HIGH
TU1,8,1480,MED
TU1,8,61,LOW
TU1,9,25495,HIGH
TU1,9,1482,MED
TU1,9,61,LOW
TU1,10,25529,HIGH
TU1,10,1485,MED
TU1,10,61,LOW
TU1,11,25556,HIGH
TU1,11,1486,MED
TU1,11,61,LOW
TU1,12,25587,HIGH
TU1,12,1488,MED
TU1,12,62,LOW
TU1,13,25619,HIGH
TU1,13,1490,MED
TU1,13,62,LOW
TU1,14,25652,HIGH
TU1,14,1491,MED
TU1,14,62,LOW
TU1,15,25680,HIGH
TU1,15,1492,MED
TU1,15,62,LOW
TU1,16,25709,HIGH
TU1,16,1495,MED
TU1,16,62,LOW
TU1,17,25730,HIGH
TU1,17,1496,MED
TU1,17,62,LOW
TU1,18,25761,HIGH
TU1,18,1499,MED
TU1,18,62,LOW
TU1,19,25793,HIGH
TU1,19,1500,MED
TU1,19,62,LOW
TU1,20,25820,HIGH
TU1,20,1501,MED
TU1,20,62,LOW
TU2,1,16014,HIGH
TU2,1,935,MED
TU2,1,39,LOW
TU2,2,16089,HIGH
TU2,2,939,MED
TU2,2,39,LOW
TU2,3,16144,HIGH
TU2,3,942,MED
TU2,3,39,LOW
TU2,4,16186,HIGH
TU2,4,944,MED
TU2,4,39,LOW
TU2,5,16218,HIGH
TU2,5,945,MED
TU2,5,39,LOW
TU2,6,16242,HIGH
TU2,6,947,MED
TU2,6,39,LOW
TU2,7,16258,HIGH
TU2,7,948,MED
TU2,7,39,LOW
TU2,8,16274,HIGH
TU2,8,948,MED
TU2,8,39,LOW
TU2,9,16284,HIGH
TU2,9,949,MED
TU2,9,39,LOW
TU2,10,16293,HIGH
TU2,10,950,MED
TU2,10,39,LOW
TU2,11,16299,HIGH
TU2,11,950,MED
TU2,11,39,LOW
TU2,12,16296,HIGH
TU2,12,950,MED
TU2,12,39,LOW
TU2,13,16307,HIGH
TU2,13,950,MED
TU2,13,39,LOW
TU2,14,16305,HIGH
TU2,14,949,MED
TU2,14,39,LOW
TU2,15,16305,HIGH
TU2,15,950,MED
TU2,15,39,LOW
TU2,16,16306,HIGH
TU2,16,950,MED
TU2,16,39,LOW
TU2,17,16304,HIGH
TU2,17,950,MED
TU2,17,39,LOW
TU2,18,16304,HIGH
TU2,18,949,MED
TU2,18,39,LOW
TU2,19,16293,HIGH
TU2,19,949,MED
TU2,19,39,LOW
TU2,20,16303,HIGH
TU2,20,949,MED
TU2,20,39,LOW
TU3,1,9105,HIGH
TU3,1,533,MED
TU3,1,22,LOW
TU3,2,9149,HIGH
TU3,2,535,MED
TU3,2,22,LOW
TU3,3,9172,HIGH
TU3,3,535,MED
TU3,3,22,LOW
TU3,4,9177,HIGH
TU3,4,536,MED
TU3,4,22,LOW
TU3,5,9172,HIGH
TU3,5,536,MED
TU3,5,22,LOW
TU3,6,9155,HIGH
TU3,6,534,MED
TU3,6,22,LOW
TU3,7,9143,HIGH
TU3,7,534,MED
TU3,7,22,LOW
TU3,8,9124,HIGH
TU3,8,533,MED
TU3,8,22,LOW
TU3,9,9106,HIGH
TU3,9,531,MED
TU3,9,22,LOW
TU3,10,9086,HIGH
TU3,10,531,MED
TU3,10,22,LOW
TU3,11,9066,HIGH
TU3,11,530,MED
TU3,11,22,LOW
TU3,12,9046,HIGH
TU3,12,528,MED
TU3,12,22,LOW
TU3,13,9027,HIGH
TU3,13,528,MED
TU3,13,22,LOW
TU3,14,9009,HIGH
TU3,14,526,MED
TU3,14,21,LOW
TU3,15,8990,HIGH
TU3,15,526,MED
TU3,15,21,LOW
TU3,16,8971,HIGH
TU3,16,523,MED
TU3,16,21,LOW
TU3,17,8954,HIGH
TU3,17,523,MED
TU3,17,21,LOW
TU3,18,8938,HIGH
TU3,18,522,MED
TU3,18,21,LOW
