name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used was BIORON 50bp DNA ladder (free of loading dye)
# Samples were diluted with bottled water.
# Samples had already been sitting for 24 hours.
# The 56 Ohm resistor was removed from the LED
# DNA concentrations:
# TU1: 160    ug/ml
# TU2:  80    ug/ml
# TU3:  40    ug/ml
# TU4:  20    ug/ml
# TU5:  10    ug/ml
# TU6:   5    ug/ml
# TU7:   2.5  ug/ml
# TU8:   1.25 ug/ml
emptybox,1,21461,MAX
emptybox,1,933,HIGH
emptybox,1,55,MED
emptybox,1,2,LOW
emptybox,2,21678,MAX
emptybox,2,939,HIGH
emptybox,2,55,MED
emptybox,2,2,LOW
emptybox,3,21762,MAX
emptybox,3,942,HIGH
emptybox,3,55,MED
emptybox,3,3,LOW
emptybox,4,21806,MAX
emptybox,4,943,HIGH
emptybox,4,56,MED
emptybox,4,3,LOW
emptybox,5,21839,MAX
emptybox,5,945,HIGH
emptybox,5,56,MED
emptybox,5,2,LOW
emptybox,6,21868,MAX
emptybox,6,946,HIGH
emptybox,6,55,MED
emptybox,6,3,LOW
emptybox,7,21886,MAX
emptybox,7,947,HIGH
emptybox,7,56,MED
emptybox,7,2,LOW
emptybox,8,21897,MAX
emptybox,8,948,HIGH
emptybox,8,56,MED
emptybox,8,2,LOW
emptybox,9,21927,MAX
emptybox,9,949,HIGH
emptybox,9,56,MED
emptybox,9,2,LOW
emptybox,10,21937,MAX
emptybox,10,950,HIGH
emptybox,10,56,MED
emptybox,10,2,LOW
emptybox,11,21938,MAX
emptybox,11,950,HIGH
emptybox,11,56,MED
emptybox,11,3,LOW
emptybox,12,21970,MAX
emptybox,12,951,HIGH
emptybox,12,56,MED
emptybox,12,2,LOW
emptybox,13,21975,MAX
emptybox,13,951,HIGH
emptybox,13,56,MED
emptybox,13,2,LOW
emptybox,14,21980,MAX
emptybox,14,951,HIGH
emptybox,14,56,MED
emptybox,14,3,LOW
emptybox,15,21994,MAX
emptybox,15,952,HIGH
emptybox,15,56,MED
emptybox,15,3,LOW
emptybox,16,22001,MAX
emptybox,16,952,HIGH
emptybox,16,56,MED
emptybox,16,2,LOW
emptybox,17,22009,MAX
emptybox,17,952,HIGH
emptybox,17,56,MED
emptybox,17,2,LOW
emptybox,18,22007,MAX
emptybox,18,952,HIGH
emptybox,18,56,MED
emptybox,18,3,LOW
emptybox,19,22025,MAX
emptybox,19,953,HIGH
emptybox,19,56,MED
emptybox,19,2,LOW
emptybox,20,22030,MAX
emptybox,20,953,HIGH
emptybox,20,56,MED
emptybox,20,2,LOW
emptytube,1,18982,HIGH
emptytube,1,1104,MED
emptytube,1,46,LOW
emptytube,2,19082,HIGH
emptytube,2,1110,MED
emptytube,2,46,LOW
emptytube,3,19136,HIGH
emptytube,3,1114,MED
emptytube,3,46,LOW
emptytube,4,19174,HIGH
emptytube,4,1116,MED
emptytube,4,46,LOW
emptytube,5,19193,HIGH
emptytube,5,1117,MED
emptytube,5,46,LOW
emptytube,6,19222,HIGH
emptytube,6,1119,MED
emptytube,6,46,LOW
emptytube,7,19239,HIGH
emptytube,7,1119,MED
emptytube,7,46,LOW
emptytube,8,19245,HIGH
emptytube,8,1120,MED
emptytube,8,46,LOW
emptytube,9,19267,HIGH
emptytube,9,1121,MED
emptytube,9,46,LOW
emptytube,10,19278,HIGH
emptytube,10,1121,MED
emptytube,10,46,LOW
emptytube,11,19281,HIGH
emptytube,11,1122,MED
emptytube,11,46,LOW
emptytube,12,19296,HIGH
emptytube,12,1122,MED
emptytube,12,46,LOW
emptytube,13,19303,HIGH
emptytube,13,1121,MED
emptytube,13,46,LOW
emptytube,14,19308,HIGH
emptytube,14,1123,MED
emptytube,14,46,LOW
emptytube,15,19316,HIGH
emptytube,15,1124,MED
emptytube,15,46,LOW
emptytube,16,19323,HIGH
emptytube,16,1124,MED
emptytube,16,46,LOW
emptytube,17,19325,HIGH
emptytube,17,1124,MED
emptytube,17,46,LOW
emptytube,18,19322,HIGH
emptytube,18,1124,MED
emptytube,18,46,LOW
emptytube,19,19336,HIGH
emptytube,19,1123,MED
emptytube,19,46,LOW
emptytube,20,19340,HIGH
emptytube,20,1123,MED
emptytube,20,46,LOW
water,1,10420,HIGH
water,1,610,MED
water,1,25,LOW
water,2,10482,HIGH
water,2,613,MED
water,2,25,LOW
water,3,10513,HIGH
water,3,614,MED
water,3,25,LOW
water,4,10534,HIGH
water,4,615,MED
water,4,25,LOW
water,5,10545,HIGH
water,5,616,MED
water,5,25,LOW
water,6,10563,HIGH
water,6,618,MED
water,6,25,LOW
water,7,10574,HIGH
water,7,618,MED
water,7,25,LOW
water,8,10582,HIGH
water,8,618,MED
water,8,25,LOW
water,9,10585,HIGH
water,9,619,MED
water,9,25,LOW
water,10,10597,HIGH
water,10,619,MED
water,10,25,LOW
water,11,10598,HIGH
water,11,620,MED
water,11,25,LOW
water,12,10610,HIGH
water,12,620,MED
water,12,25,LOW
water,13,10614,HIGH
water,13,620,MED
water,13,25,LOW
water,14,10614,HIGH
water,14,621,MED
water,14,25,LOW
water,15,10623,HIGH
water,15,621,MED
water,15,25,LOW
water,16,10625,HIGH
water,16,621,MED
water,16,25,LOW
water,17,10630,HIGH
water,17,620,MED
water,17,25,LOW
water,18,10632,HIGH
water,18,621,MED
water,18,25,LOW
water,19,10629,HIGH
water,19,621,MED
water,19,25,LOW
water,20,10638,HIGH
water,20,621,MED
water,20,25,LOW
ctrl_dye_water,1,7262,HIGH
ctrl_dye_water,1,421,MED
ctrl_dye_water,1,17,LOW
ctrl_dye_water,2,7300,HIGH
ctrl_dye_water,2,422,MED
ctrl_dye_water,2,17,LOW
ctrl_dye_water,3,7316,HIGH
ctrl_dye_water,3,423,MED
ctrl_dye_water,3,17,LOW
ctrl_dye_water,4,7333,HIGH
ctrl_dye_water,4,425,MED
ctrl_dye_water,4,17,LOW
ctrl_dye_water,5,7344,HIGH
ctrl_dye_water,5,425,MED
ctrl_dye_water,5,17,LOW
ctrl_dye_water,6,7351,HIGH
ctrl_dye_water,6,425,MED
ctrl_dye_water,6,17,LOW
ctrl_dye_water,7,7358,HIGH
ctrl_dye_water,7,425,MED
ctrl_dye_water,7,17,LOW
ctrl_dye_water,8,7362,HIGH
ctrl_dye_water,8,426,MED
ctrl_dye_water,8,17,LOW
ctrl_dye_water,9,7367,HIGH
ctrl_dye_water,9,427,MED
ctrl_dye_water,9,17,LOW
ctrl_dye_water,10,7367,HIGH
ctrl_dye_water,10,426,MED
ctrl_dye_water,10,17,LOW
ctrl_dye_water,11,7374,HIGH
ctrl_dye_water,11,426,MED
ctrl_dye_water,11,17,LOW
ctrl_dye_water,12,7377,HIGH
ctrl_dye_water,12,427,MED
ctrl_dye_water,12,17,LOW
ctrl_dye_water,13,7379,HIGH
ctrl_dye_water,13,427,MED
ctrl_dye_water,13,17,LOW
ctrl_dye_water,14,7382,HIGH
ctrl_dye_water,14,427,MED
ctrl_dye_water,14,17,LOW
ctrl_dye_water,15,7383,HIGH
ctrl_dye_water,15,427,MED
ctrl_dye_water,15,17,LOW
ctrl_dye_water,16,7385,HIGH
ctrl_dye_water,16,427,MED
ctrl_dye_water,16,17,LOW
ctrl_dye_water,17,7387,HIGH
ctrl_dye_water,17,427,MED
ctrl_dye_water,17,17,LOW
ctrl_dye_water,18,7388,HIGH
ctrl_dye_water,18,428,MED
ctrl_dye_water,18,17,LOW
ctrl_dye_water,19,7389,HIGH
ctrl_dye_water,19,428,MED
ctrl_dye_water,19,17,LOW
ctrl_dye_water,20,7391,HIGH
ctrl_dye_water,20,427,MED
ctrl_dye_water,20,17,LOW
TU1,1,45492,HIGH
TU1,1,2645,MED
TU1,1,110,LOW
TU1,2,45643,HIGH
TU1,2,2651,MED
TU1,2,110,LOW
TU1,3,45696,HIGH
TU1,3,2654,MED
TU1,3,110,LOW
TU1,4,45718,HIGH
TU1,4,2655,MED
TU1,4,110,LOW
TU1,5,45725,HIGH
TU1,5,2654,MED
TU1,5,110,LOW
TU1,6,45717,HIGH
TU1,6,2653,MED
TU1,6,110,LOW
TU1,7,45712,HIGH
TU1,7,2655,MED
TU1,7,110,LOW
TU1,8,45704,HIGH
TU1,8,2654,MED
TU1,8,110,LOW
TU1,9,45656,HIGH
TU1,9,2653,MED
TU1,9,110,LOW
TU1,10,45671,HIGH
TU1,10,2651,MED
TU1,10,110,LOW
TU1,11,45645,HIGH
TU1,11,2650,MED
TU1,11,110,LOW
TU1,12,45629,HIGH
TU1,12,2649,MED
TU1,12,110,LOW
TU1,13,45607,HIGH
TU1,13,2647,MED
TU1,13,110,LOW
TU1,14,45589,HIGH
TU1,14,2644,MED
TU1,14,110,LOW
TU1,15,45566,HIGH
TU1,15,2645,MED
TU1,15,110,LOW
TU1,16,45538,HIGH
TU1,16,2643,MED
TU1,16,110,LOW
TU1,17,45512,HIGH
TU1,17,2642,MED
TU1,17,110,LOW
TU1,18,45488,HIGH
TU1,18,2641,MED
TU1,18,110,LOW
TU1,19,45466,HIGH
TU1,19,2639,MED
TU1,19,110,LOW
TU1,20,45444,HIGH
TU1,20,2637,MED
TU1,20,110,LOW
TU2,1,25852,HIGH
TU2,1,1504,MED
TU2,1,62,LOW
TU2,2,26001,HIGH
TU2,2,1511,MED
TU2,2,63,LOW
TU2,3,26111,HIGH
TU2,3,1517,MED
TU2,3,63,LOW
TU2,4,26205,HIGH
TU2,4,1522,MED
TU2,4,63,LOW
TU2,5,26289,HIGH
TU2,5,1526,MED
TU2,5,63,LOW
TU2,6,26369,HIGH
TU2,6,1532,MED
TU2,6,63,LOW
TU2,7,26443,HIGH
TU2,7,1536,MED
TU2,7,64,LOW
TU2,8,26512,HIGH
TU2,8,1540,MED
TU2,8,64,LOW
TU2,9,26575,HIGH
TU2,9,1544,MED
TU2,9,64,LOW
TU2,10,26634,HIGH
TU2,10,1548,MED
TU2,10,64,LOW
TU2,11,26690,HIGH
TU2,11,1550,MED
TU2,11,64,LOW
TU2,12,26745,HIGH
TU2,12,1552,MED
TU2,12,64,LOW
TU2,13,26798,HIGH
TU2,13,1556,MED
TU2,13,64,LOW
TU2,14,26851,HIGH
TU2,14,1559,MED
TU2,14,65,LOW
TU2,15,26883,HIGH
TU2,15,1562,MED
TU2,15,65,LOW
TU2,16,26946,HIGH
TU2,16,1564,MED
TU2,16,65,LOW
TU2,17,26992,HIGH
TU2,17,1568,MED
TU2,17,65,LOW
TU2,18,27018,HIGH
TU2,18,1570,MED
TU2,18,65,LOW
TU2,19,27077,HIGH
TU2,19,1573,MED
TU2,19,65,LOW
TU2,20,27119,HIGH
TU2,20,1574,MED
TU2,20,65,LOW
TU3,1,12809,HIGH
TU3,1,750,MED
TU3,1,31,LOW
TU3,2,12898,HIGH
TU3,2,755,MED
TU3,2,31,LOW
TU3,3,12962,HIGH
TU3,3,758,MED
TU3,3,31,LOW
TU3,4,13016,HIGH
TU3,4,761,MED
TU3,4,31,LOW
TU3,5,13066,HIGH
TU3,5,764,MED
TU3,5,31,LOW
TU3,6,13100,HIGH
TU3,6,766,MED
TU3,6,32,LOW
TU3,7,13149,HIGH
TU3,7,769,MED
TU3,7,32,LOW
TU3,8,13183,HIGH
TU3,8,769,MED
TU3,8,32,LOW
TU3,9,13207,HIGH
TU3,9,772,MED
TU3,9,32,LOW
TU3,10,13244,HIGH
TU3,10,774,MED
TU3,10,32,LOW
TU3,11,13264,HIGH
TU3,11,775,MED
TU3,11,32,LOW
TU3,12,13296,HIGH
TU3,12,776,MED
TU3,12,32,LOW
TU3,13,13319,HIGH
TU3,13,778,MED
TU3,13,32,LOW
TU3,14,13339,HIGH
TU3,14,779,MED
TU3,14,32,LOW
TU3,15,13357,HIGH
TU3,15,780,MED
TU3,15,32,LOW
TU3,16,13366,HIGH
TU3,16,780,MED
TU3,16,32,LOW
