name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used in the MS sample was extracted from Robert's mouth swab with QuickExtract
# 300ul of QE + four mouth swabs
# TU1, TU3, TU4 and ctrl_dye_water were from previous experiment
# emptybox, ctrl_dye_water, ctrl_dye_qe, TU1, TU3, TU4, MS2
# started at 17:19pm
# CHANGED THE FILTERS from acrylic 510nm to dichroic + glass
emptybox,1,2801,MAX
emptybox,1,122,HIGH
emptybox,1,7,MED
emptybox,1,0,LOW
emptybox,2,2846,MAX
emptybox,2,123,HIGH
emptybox,2,7,MED
emptybox,2,0,LOW
emptybox,3,2858,MAX
emptybox,3,124,HIGH
emptybox,3,7,MED
emptybox,3,0,LOW
emptybox,4,2868,MAX
emptybox,4,124,HIGH
emptybox,4,7,MED
emptybox,4,1,LOW
emptybox,5,2874,MAX
emptybox,5,124,HIGH
emptybox,5,7,MED
emptybox,5,0,LOW
emptybox,6,2887,MAX
emptybox,6,125,HIGH
emptybox,6,7,MED
emptybox,6,0,LOW
emptybox,7,2890,MAX
emptybox,7,125,HIGH
emptybox,7,7,MED
emptybox,7,0,LOW
emptybox,8,2895,MAX
emptybox,8,125,HIGH
emptybox,8,7,MED
emptybox,8,1,LOW
emptybox,9,2899,MAX
emptybox,9,125,HIGH
emptybox,9,7,MED
emptybox,9,1,LOW
emptybox,10,2905,MAX
emptybox,10,126,HIGH
emptybox,10,7,MED
emptybox,10,1,LOW
emptybox,11,2910,MAX
emptybox,11,126,HIGH
emptybox,11,7,MED
emptybox,11,0,LOW
emptybox,12,2915,MAX
emptybox,12,126,HIGH
emptybox,12,7,MED
emptybox,12,0,LOW
emptybox,13,2918,MAX
emptybox,13,126,HIGH
emptybox,13,7,MED
emptybox,13,1,LOW
emptybox,14,2923,MAX
emptybox,14,126,HIGH
emptybox,14,7,MED
emptybox,14,0,LOW
emptybox,15,2927,MAX
emptybox,15,127,HIGH
emptybox,15,7,MED
emptybox,15,0,LOW
emptybox,16,2930,MAX
emptybox,16,127,HIGH
emptybox,16,7,MED
emptybox,16,0,LOW
emptybox,17,2936,MAX
emptybox,17,127,HIGH
emptybox,17,7,MED
emptybox,17,1,LOW
emptybox,18,2939,MAX
emptybox,18,127,HIGH
emptybox,18,7,MED
emptybox,18,0,LOW
emptybox,19,2942,MAX
emptybox,19,127,HIGH
emptybox,19,7,MED
emptybox,19,1,LOW
emptybox,20,2946,MAX
emptybox,20,127,HIGH
emptybox,20,7,MED
emptybox,20,0,LOW
emptytube,1,48809,MAX
emptytube,1,2124,HIGH
emptytube,1,124,MED
emptytube,1,5,LOW
emptytube,2,49123,MAX
emptytube,2,2133,HIGH
emptytube,2,124,MED
emptytube,2,5,LOW
emptytube,3,49298,MAX
emptytube,3,2137,HIGH
emptytube,3,124,MED
emptytube,3,5,LOW
emptytube,4,49365,MAX
emptytube,4,2139,HIGH
emptytube,4,125,MED
emptytube,4,5,LOW
emptytube,5,49384,MAX
emptytube,5,2141,HIGH
emptytube,5,125,MED
emptytube,5,5,LOW
emptytube,6,49430,MAX
emptytube,6,2143,HIGH
emptytube,6,125,MED
emptytube,6,5,LOW
emptytube,7,49444,MAX
emptytube,7,2143,HIGH
emptytube,7,125,MED
emptytube,7,5,LOW
emptytube,8,49478,MAX
emptytube,8,2144,HIGH
emptytube,8,125,MED
emptytube,8,5,LOW
emptytube,9,49499,MAX
emptytube,9,2145,HIGH
emptytube,9,124,MED
emptytube,9,6,LOW
emptytube,10,49497,MAX
emptytube,10,2145,HIGH
emptytube,10,124,MED
emptytube,10,5,LOW
emptytube,11,49493,MAX
emptytube,11,2145,HIGH
emptytube,11,125,MED
emptytube,11,5,LOW
emptytube,12,49491,MAX
emptytube,12,2145,HIGH
emptytube,12,124,MED
emptytube,12,5,LOW
emptytube,13,49484,MAX
emptytube,13,2145,HIGH
emptytube,13,125,MED
emptytube,13,5,LOW
emptytube,14,49444,MAX
emptytube,14,2145,HIGH
emptytube,14,125,MED
emptytube,14,5,LOW
emptytube,15,49500,MAX
emptytube,15,2146,HIGH
emptytube,15,125,MED
emptytube,15,5,LOW
emptytube,16,49521,MAX
emptytube,16,2146,HIGH
emptytube,16,125,MED
emptytube,16,5,LOW
emptytube,17,49512,MAX
emptytube,17,2147,HIGH
emptytube,17,125,MED
emptytube,17,5,LOW
emptytube,18,49549,MAX
emptytube,18,2147,HIGH
emptytube,18,125,MED
emptytube,18,5,LOW
emptytube,19,49556,MAX
emptytube,19,2147,HIGH
emptytube,19,125,MED
emptytube,19,5,LOW
emptytube,20,49555,MAX
emptytube,20,2148,HIGH
emptytube,20,125,MED
emptytube,20,5,LOW
ctrl_dye_water,1,23586,MAX
ctrl_dye_water,1,1024,HIGH
ctrl_dye_water,1,59,MED
ctrl_dye_water,1,2,LOW
ctrl_dye_water,2,23731,MAX
ctrl_dye_water,2,1028,HIGH
ctrl_dye_water,2,60,MED
ctrl_dye_water,2,3,LOW
ctrl_dye_water,3,23782,MAX
ctrl_dye_water,3,1030,HIGH
ctrl_dye_water,3,60,MED
ctrl_dye_water,3,2,LOW
ctrl_dye_water,4,23778,MAX
ctrl_dye_water,4,1029,HIGH
ctrl_dye_water,4,59,MED
ctrl_dye_water,4,3,LOW
ctrl_dye_water,5,23748,MAX
ctrl_dye_water,5,1028,HIGH
ctrl_dye_water,5,59,MED
ctrl_dye_water,5,3,LOW
ctrl_dye_water,6,23723,MAX
ctrl_dye_water,6,1027,HIGH
ctrl_dye_water,6,59,MED
ctrl_dye_water,6,3,LOW
ctrl_dye_water,7,23698,MAX
ctrl_dye_water,7,1025,HIGH
ctrl_dye_water,7,59,MED
ctrl_dye_water,7,2,LOW
ctrl_dye_water,8,23666,MAX
ctrl_dye_water,8,1024,HIGH
ctrl_dye_water,8,59,MED
ctrl_dye_water,8,3,LOW
ctrl_dye_water,9,23632,MAX
ctrl_dye_water,9,1023,HIGH
ctrl_dye_water,9,59,MED
ctrl_dye_water,9,2,LOW
ctrl_dye_water,10,23597,MAX
ctrl_dye_water,10,1021,HIGH
ctrl_dye_water,10,59,MED
ctrl_dye_water,10,2,LOW
ctrl_dye_water,11,23560,MAX
ctrl_dye_water,11,1020,HIGH
ctrl_dye_water,11,59,MED
ctrl_dye_water,11,2,LOW
ctrl_dye_water,12,23532,MAX
ctrl_dye_water,12,1018,HIGH
ctrl_dye_water,12,58,MED
ctrl_dye_water,12,3,LOW
ctrl_dye_water,13,23495,MAX
ctrl_dye_water,13,1015,HIGH
ctrl_dye_water,13,59,MED
ctrl_dye_water,13,3,LOW
ctrl_dye_water,14,23445,MAX
ctrl_dye_water,14,1014,HIGH
ctrl_dye_water,14,59,MED
ctrl_dye_water,14,2,LOW
ctrl_dye_water,15,23396,MAX
ctrl_dye_water,15,1012,HIGH
ctrl_dye_water,15,58,MED
ctrl_dye_water,15,2,LOW
ctrl_dye_water,16,23336,MAX
ctrl_dye_water,16,1009,HIGH
ctrl_dye_water,16,58,MED
ctrl_dye_water,16,2,LOW
ctrl_dye_water,17,23302,MAX
ctrl_dye_water,17,1008,HIGH
ctrl_dye_water,17,58,MED
ctrl_dye_water,17,3,LOW
ctrl_dye_water,18,23254,MAX
ctrl_dye_water,18,1006,HIGH
ctrl_dye_water,18,58,MED
ctrl_dye_water,18,2,LOW
ctrl_dye_water,19,23193,MAX
ctrl_dye_water,19,1004,HIGH
ctrl_dye_water,19,58,MED
ctrl_dye_water,19,3,LOW
ctrl_dye_water,20,23155,MAX
ctrl_dye_water,20,1001,HIGH
ctrl_dye_water,20,58,MED
ctrl_dye_water,20,3,LOW
MS2,1,38030,MAX
MS2,1,1650,HIGH
MS2,1,95,MED
MS2,1,4,LOW
MS2,2,37987,MAX
MS2,2,1643,HIGH
MS2,2,95,MED
MS2,2,3,LOW
MS2,3,37825,MAX
MS2,3,1636,HIGH
MS2,3,95,MED
MS2,3,4,LOW
MS2,4,37653,MAX
MS2,4,1629,HIGH
MS2,4,94,MED
MS2,4,3,LOW
MS2,5,37471,MAX
MS2,5,1621,HIGH
MS2,5,94,MED
MS2,5,3,LOW
MS2,6,37329,MAX
MS2,6,1615,HIGH
MS2,6,94,MED
MS2,6,3,LOW
MS2,7,37181,MAX
MS2,7,1609,HIGH
MS2,7,93,MED
MS2,7,3,LOW
MS2,8,37037,MAX
MS2,8,1603,HIGH
MS2,8,93,MED
MS2,8,3,LOW
MS2,9,36911,MAX
MS2,9,1597,HIGH
MS2,9,93,MED
MS2,9,3,LOW
MS2,10,36791,MAX
MS2,10,1592,HIGH
MS2,10,92,MED
MS2,10,4,LOW
MS2,11,36657,MAX
MS2,11,1587,HIGH
MS2,11,92,MED
MS2,11,3,LOW
MS2,12,36523,MAX
MS2,12,1580,HIGH
MS2,12,92,MED
MS2,12,3,LOW
MS2,13,36391,MAX
MS2,13,1574,HIGH
MS2,13,91,MED
MS2,13,3,LOW
MS2,14,36257,MAX
MS2,14,1569,HIGH
MS2,14,91,MED
MS2,14,3,LOW
MS2,15,36164,MAX
MS2,15,1565,HIGH
MS2,15,91,MED
MS2,15,3,LOW
MS2,16,36065,MAX
MS2,16,1561,HIGH
MS2,16,91,MED
MS2,16,3,LOW
MS2,17,35984,MAX
MS2,17,1557,HIGH
MS2,17,90,MED
MS2,17,3,LOW
MS2,18,35878,MAX
MS2,18,1553,HIGH
MS2,18,90,MED
MS2,18,3,LOW
MS2,19,35819,MAX
MS2,19,1550,HIGH
MS2,19,90,MED
MS2,19,3,LOW
MS2,20,35734,MAX
MS2,20,1544,HIGH
MS2,20,90,MED
MS2,20,3,LOW
MS,1,24977,MAX
MS,1,1080,HIGH
MS,1,63,MED
MS,1,2,LOW
MS,2,24896,MAX
MS,2,1077,HIGH
MS,2,62,MED
MS,2,2,LOW
MS,3,24822,MAX
MS,3,1075,HIGH
MS,3,62,MED
MS,3,2,LOW
MS,4,24789,MAX
MS,4,1073,HIGH
MS,4,62,MED
MS,4,2,LOW
MS,5,24744,MAX
MS,5,1070,HIGH
MS,5,62,MED
MS,5,2,LOW
MS,6,24696,MAX
MS,6,1069,HIGH
MS,6,62,MED
MS,6,2,LOW
MS,7,24666,MAX
MS,7,1067,HIGH
MS,7,62,MED
MS,7,3,LOW
MS,8,24624,MAX
MS,8,1066,HIGH
MS,8,62,MED
MS,8,3,LOW
MS,9,24545,MAX
MS,9,1063,HIGH
MS,9,62,MED
MS,9,2,LOW
MS,10,24569,MAX
MS,10,1063,HIGH
MS,10,62,MED
MS,10,2,LOW
MS,11,24546,MAX
MS,11,1062,HIGH
MS,11,62,MED
MS,11,3,LOW
MS,12,24524,MAX
MS,12,1061,HIGH
MS,12,62,MED
MS,12,3,LOW
MS,13,24502,MAX
MS,13,1060,HIGH
MS,13,61,MED
MS,13,2,LOW
MS,14,24477,MAX
MS,14,1060,HIGH
MS,14,61,MED
MS,14,2,LOW
MS,15,24461,MAX
MS,15,1059,HIGH
MS,15,61,MED
MS,15,2,LOW
MS,16,24439,MAX
MS,16,1058,HIGH
MS,16,61,MED
MS,16,2,LOW
MS,17,24425,MAX
MS,17,1057,HIGH
MS,17,61,MED
MS,17,2,LOW
MS,18,24406,MAX
MS,18,1056,HIGH
MS,18,61,MED
MS,18,2,LOW
MS,19,24396,MAX
MS,19,1056,HIGH
MS,19,61,MED
MS,19,2,LOW
MS,20,24388,MAX
MS,20,1055,HIGH
MS,20,61,MED
MS,20,2,LOW
ctrl_dye_qe,1,15781,MAX
ctrl_dye_qe,1,686,HIGH
ctrl_dye_qe,1,40,MED
ctrl_dye_qe,1,1,LOW
ctrl_dye_qe,2,15892,MAX
ctrl_dye_qe,2,687,HIGH
ctrl_dye_qe,2,40,MED
ctrl_dye_qe,2,1,LOW
ctrl_dye_qe,3,15893,MAX
ctrl_dye_qe,3,688,HIGH
ctrl_dye_qe,3,39,MED
