name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used in the MS sample was extracted from Robert's mouth swab with QuickExtract
# 300ul of QE + four mouth swabs
# TU1, TU3, TU4 and ctrl_dye_water were from previous experiment
# emptybox, ctrl_dye_water, ctrl_dye_qe, TU1, TU3, TU4, MS2
# started at 15:47pm
emptybox,1,21211,MAX
emptybox,1,923,HIGH
emptybox,1,54,MED
emptybox,1,2,LOW
emptybox,2,21435,MAX
emptybox,2,928,HIGH
emptybox,2,54,MED
emptybox,2,2,LOW
emptybox,3,21519,MAX
emptybox,3,932,HIGH
emptybox,3,54,MED
emptybox,3,2,LOW
emptybox,4,21578,MAX
emptybox,4,933,HIGH
emptybox,4,55,MED
emptybox,4,2,LOW
emptybox,5,21605,MAX
emptybox,5,935,HIGH
emptybox,5,55,MED
emptybox,5,2,LOW
emptybox,6,21641,MAX
emptybox,6,936,HIGH
emptybox,6,55,MED
emptybox,6,2,LOW
emptybox,7,21663,MAX
emptybox,7,937,HIGH
emptybox,7,55,MED
emptybox,7,2,LOW
emptybox,8,21680,MAX
emptybox,8,938,HIGH
emptybox,8,55,MED
emptybox,8,2,LOW
emptybox,9,21695,MAX
emptybox,9,939,HIGH
emptybox,9,55,MED
emptybox,9,2,LOW
emptybox,10,21700,MAX
emptybox,10,939,HIGH
emptybox,10,55,MED
emptybox,10,2,LOW
emptybox,11,21707,MAX
emptybox,11,940,HIGH
emptybox,11,55,MED
emptybox,11,2,LOW
emptybox,12,21734,MAX
emptybox,12,941,HIGH
emptybox,12,55,MED
emptybox,12,3,LOW
emptybox,13,21746,MAX
emptybox,13,941,HIGH
emptybox,13,55,MED
emptybox,13,3,LOW
emptybox,14,21763,MAX
emptybox,14,941,HIGH
emptybox,14,55,MED
emptybox,14,3,LOW
emptybox,15,21766,MAX
emptybox,15,942,HIGH
emptybox,15,55,MED
emptybox,15,2,LOW
emptybox,16,21757,MAX
emptybox,16,942,HIGH
emptybox,16,55,MED
emptybox,16,2,LOW
emptybox,17,21780,MAX
emptybox,17,942,HIGH
emptybox,17,55,MED
emptybox,17,2,LOW
emptybox,18,21788,MAX
emptybox,18,943,HIGH
emptybox,18,55,MED
emptybox,18,2,LOW
emptybox,19,21800,MAX
emptybox,19,943,HIGH
emptybox,19,55,MED
emptybox,19,2,LOW
emptybox,20,21804,MAX
emptybox,20,943,HIGH
emptybox,20,55,MED
emptybox,20,3,LOW
ctrl_dye_qe,1,6016,HIGH
ctrl_dye_qe,1,353,MED
ctrl_dye_qe,1,14,LOW
ctrl_dye_qe,2,6038,HIGH
ctrl_dye_qe,2,354,MED
ctrl_dye_qe,2,14,LOW
ctrl_dye_qe,3,6049,HIGH
ctrl_dye_qe,3,355,MED
ctrl_dye_qe,3,14,LOW
ctrl_dye_qe,4,6060,HIGH
ctrl_dye_qe,4,354,MED
ctrl_dye_qe,4,14,LOW
ctrl_dye_qe,5,6065,HIGH
ctrl_dye_qe,5,356,MED
ctrl_dye_qe,5,14,LOW
ctrl_dye_qe,6,6066,HIGH
ctrl_dye_qe,6,354,MED
ctrl_dye_qe,6,14,LOW
ctrl_dye_qe,7,6066,HIGH
ctrl_dye_qe,7,356,MED
ctrl_dye_qe,7,14,LOW
ctrl_dye_qe,8,6062,HIGH
ctrl_dye_qe,8,356,MED
ctrl_dye_qe,8,14,LOW
ctrl_dye_qe,9,6066,HIGH
ctrl_dye_qe,9,355,MED
ctrl_dye_qe,9,14,LOW
ctrl_dye_qe,10,6065,HIGH
ctrl_dye_qe,10,355,MED
ctrl_dye_qe,10,14,LOW
ctrl_dye_qe,11,6063,HIGH
ctrl_dye_qe,11,355,MED
ctrl_dye_qe,11,14,LOW
ctrl_dye_qe,12,6062,HIGH
ctrl_dye_qe,12,354,MED
ctrl_dye_qe,12,14,LOW
ctrl_dye_qe,13,6061,HIGH
ctrl_dye_qe,13,355,MED
ctrl_dye_qe,13,14,LOW
ctrl_dye_qe,14,6059,HIGH
ctrl_dye_qe,14,355,MED
ctrl_dye_qe,14,14,LOW
ctrl_dye_qe,15,6056,HIGH
ctrl_dye_qe,15,355,MED
ctrl_dye_qe,15,14,LOW
ctrl_dye_qe,16,6054,HIGH
ctrl_dye_qe,16,355,MED
ctrl_dye_qe,16,14,LOW
ctrl_dye_qe,17,6053,HIGH
ctrl_dye_qe,17,355,MED
ctrl_dye_qe,17,14,LOW
ctrl_dye_qe,18,6051,HIGH
ctrl_dye_qe,18,355,MED
ctrl_dye_qe,18,14,LOW
ctrl_dye_qe,19,6049,HIGH
ctrl_dye_qe,19,354,MED
ctrl_dye_qe,19,14,LOW
ctrl_dye_qe,20,6047,HIGH
ctrl_dye_qe,20,354,MED
ctrl_dye_qe,20,14,LOW
TU1,1,48741,HIGH
TU1,1,2833,MED
TU1,1,118,LOW
TU1,2,48928,HIGH
TU1,2,2840,MED
TU1,2,118,LOW
TU1,3,49007,HIGH
TU1,3,2845,MED
TU1,3,118,LOW
TU1,4,49054,HIGH
TU1,4,2847,MED
TU1,4,118,LOW
TU1,5,49082,HIGH
TU1,5,2848,MED
TU1,5,118,LOW
TU1,6,49104,HIGH
TU1,6,2849,MED
TU1,6,118,LOW
TU1,7,49112,HIGH
TU1,7,2850,MED
TU1,7,118,LOW
TU1,8,49125,HIGH
TU1,8,2852,MED
TU1,8,118,LOW
TU1,9,49130,HIGH
TU1,9,2851,MED
TU1,9,118,LOW
TU1,10,49136,HIGH
TU1,10,2853,MED
TU1,10,118,LOW
TU1,11,49124,HIGH
TU1,11,2850,MED
TU1,11,118,LOW
TU1,12,49075,HIGH
TU1,12,2850,MED
TU1,12,118,LOW
TU1,13,49121,HIGH
TU1,13,2851,MED
TU1,13,118,LOW
TU1,14,49104,HIGH
TU1,14,2850,MED
TU1,14,118,LOW
TU1,15,49106,HIGH
TU1,15,2849,MED
TU1,15,118,LOW
TU1,16,49101,HIGH
TU1,16,2849,MED
TU1,16,118,LOW
TU1,17,49090,HIGH
TU1,17,2848,MED
TU1,17,118,LOW
TU1,18,49078,HIGH
TU1,18,2847,MED
TU1,18,118,LOW
TU1,19,49051,HIGH
TU1,19,2846,MED
TU1,19,118,LOW
TU1,20,49052,HIGH
TU1,20,2847,MED
TU1,20,118,LOW
MS2,1,9906,HIGH
MS2,1,573,MED
MS2,1,23,LOW
MS2,2,9893,HIGH
MS2,2,574,MED
MS2,2,23,LOW
MS2,3,9880,HIGH
MS2,3,572,MED
MS2,3,23,LOW
MS2,4,9865,HIGH
MS2,4,570,MED
MS2,4,23,LOW
MS2,5,9845,HIGH
MS2,5,571,MED
MS2,5,23,LOW
MS2,6,9841,HIGH
MS2,6,570,MED
MS2,6,23,LOW
MS2,7,9828,HIGH
MS2,7,570,MED
MS2,7,23,LOW
MS2,8,9820,HIGH
MS2,8,569,MED
MS2,8,23,LOW
MS2,9,9810,HIGH
MS2,9,568,MED
MS2,9,23,LOW
MS2,10,9796,HIGH
MS2,10,568,MED
MS2,10,23,LOW
MS2,11,9796,HIGH
MS2,11,568,MED
MS2,11,23,LOW
MS2,12,9788,HIGH
MS2,12,567,MED
MS2,12,23,LOW
MS2,13,9782,HIGH
MS2,13,566,MED
MS2,13,23,LOW
MS2,14,9777,HIGH
MS2,14,566,MED
MS2,14,23,LOW
MS2,15,9770,HIGH
MS2,15,566,MED
MS2,15,23,LOW
MS2,16,9764,HIGH
MS2,16,565,MED
MS2,16,23,LOW
MS2,17,9759,HIGH
MS2,17,566,MED
MS2,17,23,LOW
MS2,18,9756,HIGH
MS2,18,566,MED
MS2,18,23,LOW
MS2,19,9751,HIGH
MS2,19,565,MED
MS2,19,23,LOW
MS2,20,9749,HIGH
MS2,20,565,MED
MS2,20,23,LOW
TU3,1,14073,HIGH
TU3,1,819,MED
TU3,1,34,LOW
TU3,2,14148,HIGH
TU3,2,823,MED
TU3,2,34,LOW
TU3,3,14217,HIGH
TU3,3,826,MED
TU3,3,34,LOW
TU3,4,14266,HIGH
TU3,4,829,MED
TU3,4,34,LOW
TU3,5,14308,HIGH
TU3,5,832,MED
TU3,5,34,LOW
TU3,6,14349,HIGH
TU3,6,834,MED
TU3,6,34,LOW
TU3,7,14385,HIGH
TU3,7,836,MED
TU3,7,34,LOW
TU3,8,14423,HIGH
TU3,8,837,MED
TU3,8,34,LOW
TU3,9,14455,HIGH
TU3,9,840,MED
TU3,9,35,LOW
TU3,10,14487,HIGH
TU3,10,842,MED
TU3,10,34,LOW
TU3,11,14518,HIGH
TU3,11,844,MED
TU3,11,35,LOW
TU3,12,14545,HIGH
TU3,12,845,MED
TU3,12,34,LOW
TU3,13,14573,HIGH
TU3,13,847,MED
TU3,13,35,LOW
TU3,14,14600,HIGH
TU3,14,848,MED
TU3,14,35,LOW
TU3,15,14627,HIGH
TU3,15,850,MED
TU3,15,35,LOW
TU3,16,14653,HIGH
TU3,16,851,MED
TU3,16,35,LOW
TU3,17,14680,HIGH
TU3,17,853,MED
TU3,17,35,LOW
TU3,18,14704,HIGH
TU3,18,855,MED
TU3,18,35,LOW
TU3,19,14729,HIGH
TU3,19,855,MED
TU3,19,35,LOW
TU3,20,14752,HIGH
TU3,20,857,MED
TU3,20,35,LOW
TU4,1,8603,HIGH
TU4,1,506,MED
TU4,1,21,LOW
TU4,2,8650,HIGH
TU4,2,509,MED
TU4,2,21,LOW
TU4,3,8679,HIGH
TU4,3,510,MED
TU4,3,21,LOW
TU4,4,8699,HIGH
TU4,4,511,MED
TU4,4,21,LOW
TU4,5,8719,HIGH
TU4,5,512,MED
TU4,5,21,LOW
TU4,6,8735,HIGH
TU4,6,513,MED
TU4,6,21,LOW
TU4,7,8750,HIGH
TU4,7,514,MED
TU4,7,21,LOW
TU4,8,8763,HIGH
TU4,8,515,MED
TU4,8,21,LOW
TU4,9,8775,HIGH
TU4,9,515,MED
TU4,9,21,LOW
TU4,10,8787,HIGH
TU4,10,515,MED
TU4,10,21,LOW
TU4,11,8798,HIGH
TU4,11,517,MED
TU4,11,21,LOW
TU4,12,8809,HIGH
TU4,12,518,MED
TU4,12,21,LOW
TU4,13,8819,HIGH
TU4,13,518,MED
TU4,13,21,LOW
TU4,14,8829,HIGH
TU4,14,519,MED
TU4,14,21,LOW
TU4,15,8838,HIGH
TU4,15,519,MED
TU4,15,21,LOW
TU4,16,8846,HIGH
TU4,16,520,MED
TU4,16,21,LOW
TU4,17,8855,HIGH
TU4,17,520,MED
TU4,17,21,LOW
TU4,18,8860,HIGH
TU4,18,521,MED
TU4,18,21,LOW
TU4,19,8871,HIGH
TU4,19,521,MED
TU4,19,21,LOW
TU4,20,8877,HIGH
TU4,20,521,MED
TU4,20,21,LOW
