name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used in the MS sample was extracted from Robert's mouth swab with QuickExtract
# TU1 and TU4 and ctrl_dye_water were from previous experiment
# emptybox, ctrl_dye_water, TU1, TU3, TU4, MS, ctrl_dye_qe
# started at 12:30pm
emptybox,1,21405,MAX
emptybox,1,931,HIGH
emptybox,1,55,MED
emptybox,1,3,LOW
emptybox,2,21646,MAX
emptybox,2,937,HIGH
emptybox,2,55,MED
emptybox,2,2,LOW
emptybox,3,21726,MAX
emptybox,3,940,HIGH
emptybox,3,55,MED
emptybox,3,2,LOW
emptybox,4,21772,MAX
emptybox,4,942,HIGH
emptybox,4,55,MED
emptybox,4,3,LOW
emptybox,5,21803,MAX
emptybox,5,943,HIGH
emptybox,5,55,MED
emptybox,5,2,LOW
emptybox,6,21844,MAX
emptybox,6,945,HIGH
emptybox,6,55,MED
emptybox,6,2,LOW
emptybox,7,21873,MAX
emptybox,7,946,HIGH
emptybox,7,55,MED
emptybox,7,2,LOW
emptybox,8,21883,MAX
emptybox,8,947,HIGH
emptybox,8,55,MED
emptybox,8,2,LOW
emptybox,9,21909,MAX
emptybox,9,948,HIGH
emptybox,9,55,MED
emptybox,9,3,LOW
emptybox,10,21928,MAX
emptybox,10,948,HIGH
emptybox,10,55,MED
emptybox,10,2,LOW
emptybox,11,21942,MAX
emptybox,11,949,HIGH
emptybox,11,56,MED
emptybox,11,2,LOW
emptybox,12,21955,MAX
emptybox,12,950,HIGH
emptybox,12,56,MED
emptybox,12,2,LOW
emptybox,13,21961,MAX
emptybox,13,950,HIGH
emptybox,13,56,MED
emptybox,13,2,LOW
emptybox,14,21977,MAX
emptybox,14,951,HIGH
emptybox,14,56,MED
emptybox,14,2,LOW
emptybox,15,21986,MAX
emptybox,15,951,HIGH
emptybox,15,56,MED
emptybox,15,2,LOW
emptybox,16,21996,MAX
emptybox,16,952,HIGH
emptybox,16,56,MED
emptybox,16,2,LOW
emptybox,17,22004,MAX
emptybox,17,952,HIGH
emptybox,17,56,MED
emptybox,17,2,LOW
emptybox,18,22009,MAX
emptybox,18,953,HIGH
emptybox,18,56,MED
emptybox,18,2,LOW
emptybox,19,22023,MAX
emptybox,19,953,HIGH
emptybox,19,56,MED
emptybox,19,2,LOW
emptybox,20,22027,MAX
emptybox,20,953,HIGH
emptybox,20,56,MED
emptybox,20,2,LOW
ctrl_dye_water,1,7027,HIGH
ctrl_dye_water,1,407,MED
ctrl_dye_water,1,17,LOW
ctrl_dye_water,2,7065,HIGH
ctrl_dye_water,2,409,MED
ctrl_dye_water,2,17,LOW
ctrl_dye_water,3,7086,HIGH
ctrl_dye_water,3,410,MED
ctrl_dye_water,3,17,LOW
ctrl_dye_water,4,7099,HIGH
ctrl_dye_water,4,411,MED
ctrl_dye_water,4,17,LOW
ctrl_dye_water,5,7101,HIGH
ctrl_dye_water,5,411,MED
ctrl_dye_water,5,17,LOW
ctrl_dye_water,6,7116,HIGH
ctrl_dye_water,6,411,MED
ctrl_dye_water,6,17,LOW
ctrl_dye_water,7,7125,HIGH
ctrl_dye_water,7,412,MED
ctrl_dye_water,7,17,LOW
ctrl_dye_water,8,7129,HIGH
ctrl_dye_water,8,413,MED
ctrl_dye_water,8,17,LOW
ctrl_dye_water,9,7135,HIGH
ctrl_dye_water,9,413,MED
ctrl_dye_water,9,17,LOW
ctrl_dye_water,10,7140,HIGH
ctrl_dye_water,10,412,MED
ctrl_dye_water,10,17,LOW
ctrl_dye_water,11,7143,HIGH
ctrl_dye_water,11,413,MED
ctrl_dye_water,11,17,LOW
ctrl_dye_water,12,7146,HIGH
ctrl_dye_water,12,414,MED
ctrl_dye_water,12,17,LOW
ctrl_dye_water,13,7150,HIGH
ctrl_dye_water,13,414,MED
ctrl_dye_water,13,17,LOW
ctrl_dye_water,14,7153,HIGH
ctrl_dye_water,14,413,MED
ctrl_dye_water,14,17,LOW
ctrl_dye_water,15,7156,HIGH
ctrl_dye_water,15,414,MED
ctrl_dye_water,15,17,LOW
ctrl_dye_water,16,7159,HIGH
ctrl_dye_water,16,414,MED
ctrl_dye_water,16,17,LOW
ctrl_dye_water,17,7162,HIGH
ctrl_dye_water,17,415,MED
ctrl_dye_water,17,17,LOW
ctrl_dye_water,18,7163,HIGH
ctrl_dye_water,18,415,MED
ctrl_dye_water,18,17,LOW
ctrl_dye_water,19,7164,HIGH
ctrl_dye_water,19,415,MED
ctrl_dye_water,19,17,LOW
ctrl_dye_water,20,7167,HIGH
ctrl_dye_water,20,415,MED
ctrl_dye_water,20,17,LOW
MS,1,8247,HIGH
MS,1,478,MED
MS,1,19,LOW
MS,2,8225,HIGH
MS,2,478,MED
MS,2,19,LOW
MS,3,8198,HIGH
MS,3,476,MED
MS,3,19,LOW
MS,4,8171,HIGH
MS,4,474,MED
MS,4,19,LOW
MS,5,8147,HIGH
MS,5,472,MED
MS,5,19,LOW
MS,6,8127,HIGH
MS,6,472,MED
MS,6,19,LOW
MS,7,8110,HIGH
MS,7,471,MED
MS,7,19,LOW
MS,8,8093,HIGH
MS,8,470,MED
MS,8,19,LOW
MS,9,8082,HIGH
MS,9,469,MED
MS,9,19,LOW
MS,10,8073,HIGH
MS,10,468,MED
MS,10,19,LOW
MS,11,8064,HIGH
MS,11,468,MED
MS,11,19,LOW
MS,12,8056,HIGH
MS,12,468,MED
MS,12,19,LOW
MS,13,8050,HIGH
MS,13,467,MED
MS,13,19,LOW
MS,14,8044,HIGH
MS,14,467,MED
MS,14,19,LOW
MS,15,8038,HIGH
MS,15,466,MED
MS,15,19,LOW
MS,16,8033,HIGH
MS,16,466,MED
MS,16,19,LOW
MS,17,8030,HIGH
MS,17,466,MED
MS,17,18,LOW
MS,18,8029,HIGH
MS,18,466,MED
MS,18,19,LOW
MS,19,8027,HIGH
MS,19,466,MED
MS,19,19,LOW
MS,20,8026,HIGH
MS,20,465,MED
MS,20,19,LOW
TU1,1,48141,HIGH
TU1,1,2799,MED
TU1,1,116,LOW
TU1,2,48305,HIGH
TU1,2,2807,MED
TU1,2,117,LOW
TU1,3,48364,HIGH
TU1,3,2809,MED
TU1,3,117,LOW
TU1,4,48406,HIGH
TU1,4,2812,MED
TU1,4,117,LOW
TU1,5,48429,HIGH
TU1,5,2813,MED
TU1,5,117,LOW
TU1,6,48439,HIGH
TU1,6,2812,MED
TU1,6,117,LOW
TU1,7,48441,HIGH
TU1,7,2814,MED
TU1,7,117,LOW
TU1,8,48437,HIGH
TU1,8,2812,MED
TU1,8,117,LOW
TU1,9,48430,HIGH
TU1,9,2812,MED
TU1,9,117,LOW
TU1,10,48421,HIGH
TU1,10,2812,MED
TU1,10,117,LOW
TU1,11,48416,HIGH
TU1,11,2810,MED
TU1,11,117,LOW
TU1,12,48384,HIGH
TU1,12,2810,MED
TU1,12,117,LOW
TU1,13,48394,HIGH
TU1,13,2810,MED
TU1,13,117,LOW
TU1,14,48377,HIGH
TU1,14,2808,MED
TU1,14,117,LOW
TU1,15,48361,HIGH
TU1,15,2808,MED
TU1,15,117,LOW
TU1,16,48346,HIGH
TU1,16,2807,MED
TU1,16,117,LOW
TU1,17,48325,HIGH
TU1,17,2806,MED
TU1,17,117,LOW
TU1,18,48313,HIGH
TU1,18,2805,MED
TU1,18,117,LOW
TU1,19,48301,HIGH
TU1,19,2806,MED
TU1,19,117,LOW
TU1,20,48245,HIGH
TU1,20,2804,MED
TU1,20,116,LOW
TU3,1,13691,HIGH
TU3,1,798,MED
TU3,1,33,LOW
TU3,2,13772,HIGH
TU3,2,802,MED
TU3,2,33,LOW
TU3,3,13838,HIGH
TU3,3,805,MED
TU3,3,33,LOW
TU3,4,13888,HIGH
TU3,4,808,MED
TU3,4,33,LOW
TU3,5,13934,HIGH
TU3,5,811,MED
TU3,5,33,LOW
TU3,6,13978,HIGH
TU3,6,813,MED
TU3,6,33,LOW
TU3,7,14015,HIGH
TU3,7,816,MED
TU3,7,34,LOW
TU3,8,14054,HIGH
TU3,8,816,MED
TU3,8,34,LOW
TU3,9,14082,HIGH
TU3,9,819,MED
TU3,9,33,LOW
TU3,10,14120,HIGH
TU3,10,821,MED
TU3,10,34,LOW
TU3,11,14149,HIGH
TU3,11,823,MED
TU3,11,34,LOW
TU3,12,14179,HIGH
TU3,12,824,MED
TU3,12,34,LOW
TU3,13,14208,HIGH
TU3,13,826,MED
TU3,13,34,LOW
TU3,14,14236,HIGH
TU3,14,828,MED
TU3,14,34,LOW
TU3,15,14264,HIGH
TU3,15,829,MED
TU3,15,34,LOW
TU3,16,14290,HIGH
TU3,16,831,MED
TU3,16,34,LOW
TU3,17,14315,HIGH
TU3,17,832,MED
TU3,17,34,LOW
TU3,18,14341,HIGH
TU3,18,834,MED
TU3,18,34,LOW
TU3,19,14364,HIGH
TU3,19,836,MED
TU3,19,34,LOW
TU3,20,14389,HIGH
TU3,20,836,MED
TU3,20,34,LOW
TU4,1,8341,HIGH
TU4,1,487,MED
TU4,1,20,LOW
TU4,2,8386,HIGH
TU4,2,489,MED
TU4,2,20,LOW
TU4,3,8414,HIGH
TU4,3,490,MED
TU4,3,20,LOW
TU4,4,8436,HIGH
TU4,4,492,MED
TU4,4,20,LOW
TU4,5,8452,HIGH
TU4,5,492,MED
TU4,5,20,LOW
TU4,6,8462,HIGH
TU4,6,493,MED
TU4,6,20,LOW
TU4,7,8480,HIGH
TU4,7,494,MED
TU4,7,20,LOW
TU4,8,8493,HIGH
TU4,8,493,MED
TU4,8,20,LOW
TU4,9,8504,HIGH
TU4,9,495,MED
TU4,9,20,LOW
TU4,10,8513,HIGH
TU4,10,495,MED
TU4,10,20,LOW
TU4,11,8523,HIGH
TU4,11,496,MED
TU4,11,20,LOW
TU4,12,8531,HIGH
TU4,12,497,MED
TU4,12,20,LOW
TU4,13,8540,HIGH
TU4,13,497,MED
TU4,13,20,LOW
TU4,14,8549,HIGH
TU4,14,498,MED
TU4,14,20,LOW
TU4,15,8555,HIGH
TU4,15,498,MED
TU4,15,20,LOW
TU4,16,8563,HIGH
TU4,16,499,MED
TU4,16,20,LOW
TU4,17,8569,HIGH
TU4,17,499,MED
TU4,17,20,LOW
TU4,18,8574,HIGH
TU4,18,499,MED
TU4,18,20,LOW
TU4,19,8582,HIGH
TU4,19,500,MED
TU4,19,20,LOW
TU4,20,8587,HIGH
TU4,20,500,MED
TU4,20,20,LOW
ctrl_dye_qe,1,6175,HIGH
ctrl_dye_qe,1,363,MED
ctrl_dye_qe,1,15,LOW
ctrl_dye_qe,2,6199,HIGH
ctrl_dye_qe,2,364,MED
ctrl_dye_qe,2,15,LOW
ctrl_dye_qe,3,6207,HIGH
ctrl_dye_qe,3,365,MED
ctrl_dye_qe,3,15,LOW
ctrl_dye_qe,4,6207,HIGH
ctrl_dye_qe,4,365,MED
ctrl_dye_qe,4,15,LOW
ctrl_dye_qe,5,6211,HIGH
ctrl_dye_qe,5,365,MED
ctrl_dye_qe,5,15,LOW
ctrl_dye_qe,6,6210,HIGH
ctrl_dye_qe,6,364,MED
ctrl_dye_qe,6,15,LOW
ctrl_dye_qe,7,6208,HIGH
ctrl_dye_qe,7,364,MED
ctrl_dye_qe,7,15,LOW
ctrl_dye_qe,8,6204,HIGH
ctrl_dye_qe,8,364,MED
ctrl_dye_qe,8,15,LOW
ctrl_dye_qe,9,6202,HIGH
ctrl_dye_qe,9,364,MED
ctrl_dye_qe,9,15,LOW
ctrl_dye_qe,10,6199,HIGH
ctrl_dye_qe,10,364,MED
ctrl_dye_qe,10,15,LOW
ctrl_dye_qe,11,6195,HIGH
ctrl_dye_qe,11,363,MED
ctrl_dye_qe,11,15,LOW
ctrl_dye_qe,12,6191,HIGH
ctrl_dye_qe,12,363,MED
ctrl_dye_qe,12,15,LOW
ctrl_dye_qe,13,6188,HIGH
ctrl_dye_qe,13,363,MED
