name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used in the MS sample was extracted from Robert's mouth swab with QuickExtract
# 300ul of QE + four mouth swabs
# TU1, TU3, TU4 and ctrl_dye_water were from previous experiment
# emptybox, ctrl_dye_water, ctrl_dye_qe, TU1, TU3, TU4, MS, MS2
# started at 15:17pm on 27.04.2018
# CHANGED THE FILTERS from acrylic 510nm to dichroic + glass
emptybox,1,2533,MAX
emptybox,1,110,HIGH
emptybox,1,6,MED
emptybox,1,0,LOW
emptybox,2,2543,MAX
emptybox,2,110,HIGH
emptybox,2,6,MED
emptybox,2,1,LOW
emptybox,3,2551,MAX
emptybox,3,110,HIGH
emptybox,3,6,MED
emptybox,3,0,LOW
emptybox,4,2556,MAX
emptybox,4,111,HIGH
emptybox,4,6,MED
emptybox,4,1,LOW
emptybox,5,2561,MAX
emptybox,5,111,HIGH
emptybox,5,6,MED
emptybox,5,1,LOW
emptybox,6,2563,MAX
emptybox,6,111,HIGH
emptybox,6,6,MED
emptybox,6,1,LOW
emptybox,7,2565,MAX
emptybox,7,111,HIGH
emptybox,7,6,MED
emptybox,7,1,LOW
emptybox,8,2570,MAX
emptybox,8,111,HIGH
emptybox,8,6,MED
emptybox,8,0,LOW
emptybox,9,2572,MAX
emptybox,9,111,HIGH
emptybox,9,6,MED
emptybox,9,0,LOW
emptybox,10,2572,MAX
emptybox,10,111,HIGH
emptybox,10,6,MED
emptybox,10,0,LOW
emptybox,11,2573,MAX
emptybox,11,111,HIGH
emptybox,11,6,MED
emptybox,11,0,LOW
emptybox,12,2575,MAX
emptybox,12,111,HIGH
emptybox,12,6,MED
emptybox,12,0,LOW
emptybox,13,2578,MAX
emptybox,13,111,HIGH
emptybox,13,6,MED
emptybox,13,0,LOW
emptybox,14,2577,MAX
emptybox,14,111,HIGH
emptybox,14,6,MED
emptybox,14,1,LOW
emptybox,15,2579,MAX
emptybox,15,111,HIGH
emptybox,15,6,MED
emptybox,15,0,LOW
emptybox,16,2579,MAX
emptybox,16,112,HIGH
emptybox,16,6,MED
emptybox,16,1,LOW
emptybox,17,2580,MAX
emptybox,17,111,HIGH
emptybox,17,6,MED
emptybox,17,0,LOW
emptybox,18,2581,MAX
emptybox,18,112,HIGH
emptybox,18,6,MED
emptybox,18,0,LOW
emptybox,19,2582,MAX
emptybox,19,112,HIGH
emptybox,19,6,MED
emptybox,19,1,LOW
emptybox,20,2582,MAX
emptybox,20,111,HIGH
emptybox,20,6,MED
emptybox,20,0,LOW
ctrl_dye_qe,1,15176,MAX
ctrl_dye_qe,1,661,HIGH
ctrl_dye_qe,1,38,MED
ctrl_dye_qe,1,1,LOW
ctrl_dye_qe,2,15319,MAX
ctrl_dye_qe,2,663,HIGH
ctrl_dye_qe,2,38,MED
ctrl_dye_qe,2,1,LOW
ctrl_dye_qe,3,15342,MAX
ctrl_dye_qe,3,664,HIGH
ctrl_dye_qe,3,38,MED
ctrl_dye_qe,3,1,LOW
ctrl_dye_qe,4,15347,MAX
ctrl_dye_qe,4,665,HIGH
ctrl_dye_qe,4,38,MED
ctrl_dye_qe,4,1,LOW
ctrl_dye_qe,5,15356,MAX
ctrl_dye_qe,5,665,HIGH
ctrl_dye_qe,5,38,MED
ctrl_dye_qe,5,2,LOW
ctrl_dye_qe,6,15356,MAX
ctrl_dye_qe,6,665,HIGH
ctrl_dye_qe,6,38,MED
ctrl_dye_qe,6,1,LOW
ctrl_dye_qe,7,15348,MAX
ctrl_dye_qe,7,664,HIGH
ctrl_dye_qe,7,38,MED
ctrl_dye_qe,7,1,LOW
ctrl_dye_qe,8,15347,MAX
ctrl_dye_qe,8,664,HIGH
ctrl_dye_qe,8,38,MED
ctrl_dye_qe,8,1,LOW
ctrl_dye_qe,9,15335,MAX
ctrl_dye_qe,9,664,HIGH
ctrl_dye_qe,9,38,MED
ctrl_dye_qe,9,2,LOW
ctrl_dye_qe,10,15309,MAX
ctrl_dye_qe,10,663,HIGH
ctrl_dye_qe,10,38,MED
ctrl_dye_qe,10,1,LOW
ctrl_dye_qe,11,15319,MAX
ctrl_dye_qe,11,663,HIGH
ctrl_dye_qe,11,38,MED
ctrl_dye_qe,11,1,LOW
ctrl_dye_qe,12,15311,MAX
ctrl_dye_qe,12,662,HIGH
ctrl_dye_qe,12,38,MED
ctrl_dye_qe,12,1,LOW
ctrl_dye_qe,13,15302,MAX
ctrl_dye_qe,13,662,HIGH
ctrl_dye_qe,13,38,MED
ctrl_dye_qe,13,1,LOW
ctrl_dye_qe,14,15291,MAX
ctrl_dye_qe,14,662,HIGH
ctrl_dye_qe,14,38,MED
ctrl_dye_qe,14,1,LOW
ctrl_dye_qe,15,15281,MAX
ctrl_dye_qe,15,662,HIGH
ctrl_dye_qe,15,38,MED
ctrl_dye_qe,15,1,LOW
ctrl_dye_qe,16,15271,MAX
ctrl_dye_qe,16,661,HIGH
ctrl_dye_qe,16,38,MED
ctrl_dye_qe,16,1,LOW
ctrl_dye_qe,17,15255,MAX
ctrl_dye_qe,17,661,HIGH
ctrl_dye_qe,17,38,MED
ctrl_dye_qe,17,1,LOW
ctrl_dye_qe,18,15244,MAX
ctrl_dye_qe,18,660,HIGH
ctrl_dye_qe,18,38,MED
ctrl_dye_qe,18,1,LOW
ctrl_dye_qe,19,15236,MAX
ctrl_dye_qe,19,660,HIGH
ctrl_dye_qe,19,38,MED
ctrl_dye_qe,19,1,LOW
ctrl_dye_qe,20,15226,MAX
ctrl_dye_qe,20,659,HIGH
ctrl_dye_qe,20,38,MED
ctrl_dye_qe,20,1,LOW
ctrl_dye_water,1,14442,MAX
ctrl_dye_water,1,628,HIGH
ctrl_dye_water,1,36,MED
ctrl_dye_water,1,1,LOW
ctrl_dye_water,2,14570,MAX
ctrl_dye_water,2,631,HIGH
ctrl_dye_water,2,36,MED
ctrl_dye_water,2,1,LOW
ctrl_dye_water,3,14605,MAX
ctrl_dye_water,3,632,HIGH
ctrl_dye_water,3,37,MED
ctrl_dye_water,3,1,LOW
ctrl_dye_water,4,14635,MAX
ctrl_dye_water,4,633,HIGH
ctrl_dye_water,4,37,MED
ctrl_dye_water,4,1,LOW
ctrl_dye_water,5,14646,MAX
ctrl_dye_water,5,634,HIGH
ctrl_dye_water,5,37,MED
ctrl_dye_water,5,1,LOW
ctrl_dye_water,6,14657,MAX
ctrl_dye_water,6,635,HIGH
ctrl_dye_water,6,37,MED
ctrl_dye_water,6,1,LOW
ctrl_dye_water,7,14669,MAX
ctrl_dye_water,7,635,HIGH
ctrl_dye_water,7,37,MED
ctrl_dye_water,7,1,LOW
ctrl_dye_water,8,14679,MAX
ctrl_dye_water,8,635,HIGH
ctrl_dye_water,8,37,MED
ctrl_dye_water,8,2,LOW
ctrl_dye_water,9,14684,MAX
ctrl_dye_water,9,635,HIGH
ctrl_dye_water,9,36,MED
ctrl_dye_water,9,2,LOW
ctrl_dye_water,10,14688,MAX
ctrl_dye_water,10,636,HIGH
ctrl_dye_water,10,37,MED
ctrl_dye_water,10,1,LOW
ctrl_dye_water,11,14689,MAX
ctrl_dye_water,11,636,HIGH
ctrl_dye_water,11,37,MED
ctrl_dye_water,11,1,LOW
ctrl_dye_water,12,14695,MAX
ctrl_dye_water,12,636,HIGH
ctrl_dye_water,12,37,MED
ctrl_dye_water,12,1,LOW
ctrl_dye_water,13,14695,MAX
ctrl_dye_water,13,635,HIGH
ctrl_dye_water,13,37,MED
ctrl_dye_water,13,2,LOW
ctrl_dye_water,14,14684,MAX
ctrl_dye_water,14,636,HIGH
ctrl_dye_water,14,37,MED
ctrl_dye_water,14,2,LOW
ctrl_dye_water,15,14702,MAX
ctrl_dye_water,15,636,HIGH
ctrl_dye_water,15,37,MED
ctrl_dye_water,15,1,LOW
ctrl_dye_water,16,14706,MAX
ctrl_dye_water,16,637,HIGH
ctrl_dye_water,16,37,MED
ctrl_dye_water,16,2,LOW
ctrl_dye_water,17,14709,MAX
ctrl_dye_water,17,636,HIGH
ctrl_dye_water,17,36,MED
ctrl_dye_water,17,1,LOW
ctrl_dye_water,18,14709,MAX
ctrl_dye_water,18,637,HIGH
ctrl_dye_water,18,37,MED
ctrl_dye_water,18,1,LOW
ctrl_dye_water,19,14713,MAX
ctrl_dye_water,19,637,HIGH
ctrl_dye_water,19,37,MED
ctrl_dye_water,19,1,LOW
ctrl_dye_water,20,14714,MAX
ctrl_dye_water,20,637,HIGH
ctrl_dye_water,20,37,MED
ctrl_dye_water,20,1,LOW
TU1,1,15116,HIGH
TU1,1,880,MED
TU1,1,36,LOW
TU1,2,15167,HIGH
TU1,2,882,MED
TU1,2,36,LOW
TU1,3,15191,HIGH
TU1,3,882,MED
TU1,3,36,LOW
TU1,4,15204,HIGH
TU1,4,884,MED
TU1,4,36,LOW
TU1,5,15215,HIGH
TU1,5,885,MED
TU1,5,36,LOW
TU1,6,15225,HIGH
TU1,6,885,MED
TU1,6,36,LOW
TU1,7,15230,HIGH
TU1,7,885,MED
TU1,7,36,LOW
TU1,8,15234,HIGH
TU1,8,885,MED
TU1,8,36,LOW
TU1,9,15236,HIGH
TU1,9,887,MED
TU1,9,37,LOW
TU1,10,15238,HIGH
TU1,10,887,MED
TU1,10,37,LOW
TU1,11,15244,HIGH
TU1,11,886,MED
TU1,11,37,LOW
TU1,12,15244,HIGH
TU1,12,886,MED
TU1,12,37,LOW
TU1,13,15241,HIGH
TU1,13,886,MED
TU1,13,37,LOW
TU1,14,15245,HIGH
TU1,14,886,MED
TU1,14,37,LOW
TU1,15,15245,HIGH
TU1,15,887,MED
TU1,15,37,LOW
TU1,16,15244,HIGH
TU1,16,887,MED
TU1,16,37,LOW
TU1,17,15247,HIGH
TU1,17,887,MED
TU1,17,36,LOW
TU1,18,15244,HIGH
TU1,18,887,MED
TU1,18,37,LOW
TU1,19,15248,HIGH
TU1,19,886,MED
TU1,19,36,LOW
TU1,20,15244,HIGH
TU1,20,887,MED
TU1,20,37,LOW
TU3,1,3664,HIGH
TU3,1,214,MED
TU3,1,8,LOW
TU3,2,3681,HIGH
TU3,2,214,MED
TU3,2,8,LOW
TU3,3,3693,HIGH
TU3,3,215,MED
TU3,3,9,LOW
TU3,4,3702,HIGH
TU3,4,216,MED
TU3,4,9,LOW
TU3,5,3711,HIGH
TU3,5,216,MED
TU3,5,9,LOW
TU3,6,3718,HIGH
TU3,6,217,MED
TU3,6,9,LOW
TU3,7,3727,HIGH
TU3,7,217,MED
TU3,7,9,LOW
TU3,8,3734,HIGH
TU3,8,217,MED
TU3,8,9,LOW
TU3,9,3741,HIGH
TU3,9,218,MED
TU3,9,9,LOW
TU3,10,3748,HIGH
TU3,10,218,MED
TU3,10,9,LOW
TU3,11,3755,HIGH
TU3,11,218,MED
TU3,11,9,LOW
TU3,12,3756,HIGH
TU3,12,219,MED
TU3,12,9,LOW
TU3,13,3766,HIGH
TU3,13,219,MED
TU3,13,9,LOW
TU3,14,3772,HIGH
TU3,14,220,MED
TU3,14,9,LOW
TU3,15,3778,HIGH
TU3,15,220,MED
TU3,15,9,LOW
TU3,16,3783,HIGH
TU3,16,220,MED
TU3,16,9,LOW
TU3,17,3789,HIGH
TU3,17,221,MED
TU3,17,9,LOW
TU3,18,3794,HIGH
TU3,18,221,MED
TU3,18,9,LOW
TU3,19,3799,HIGH
TU3,19,221,MED
TU3,19,9,LOW
TU3,20,3803,HIGH
TU3,20,222,MED
TU3,20,9,LOW
TU4,1,31675,MAX
TU4,1,1378,HIGH
TU4,1,80,MED
TU4,1,4,LOW
TU4,2,31931,MAX
TU4,2,1384,HIGH
TU4,2,80,MED
TU4,2,3,LOW
TU4,3,32005,MAX
TU4,3,1387,HIGH
TU4,3,80,MED
TU4,3,3,LOW
TU4,4,32063,MAX
TU4,4,1389,HIGH
TU4,4,81,MED
TU4,4,3,LOW
TU4,5,32113,MAX
