name,seqid,value,gain
# diff of corresponding values in: 
# ../data/2018-04-25_GelGreen_50bpladder_replica2.csv
# ../data/2018-04-26_GelGreen_QE_2_filters.csv
TU3,1,9026,HIGH
TU3,1,530,MED
TU3,1,22,LOW
TU3,2,9099,HIGH
TU3,2,534,MED
TU3,2,22,LOW
TU3,3,537,MED
TU3,3,22,LOW
TU3,3,9154,HIGH
TU3,4,539,MED
TU3,4,22,LOW
TU3,4,9202,HIGH
TU3,5,543,MED
TU3,5,22,LOW
TU3,5,9244,HIGH
TU3,6,23,LOW
TU3,6,543,MED
TU3,6,9272,HIGH
TU3,7,546,MED
TU3,7,23,LOW
TU3,7,9316,HIGH
TU3,8,547,MED
TU3,8,23,LOW
TU3,8,9344,HIGH
TU3,9,9363,HIGH
TU3,9,549,MED
TU3,9,23,LOW
TU3,10,550,MED
TU3,10,23,LOW
TU3,10,9395,HIGH
TU3,11,9413,HIGH
TU3,11,23,LOW
TU3,11,551,MED
TU3,12,23,LOW
TU3,12,552,MED
TU3,12,9438,HIGH
TU3,13,554,MED
TU3,13,23,LOW
TU3,13,9457,HIGH
TU3,14,23,LOW
TU3,14,555,MED
TU3,14,9473,HIGH
TU3,15,555,MED
TU3,15,23,LOW
TU3,15,9491,HIGH
TU3,16,23,LOW
TU3,16,555,MED
TU3,16,9493,HIGH
TU3,17,23,LOW
TU3,17,558,MED
TU3,17,9513,HIGH
TU3,18,9525,HIGH
TU3,18,23,LOW
TU3,18,558,MED
TU3,19,9536,HIGH
TU3,19,557,MED
TU3,19,23,LOW
TU3,20,9544,HIGH
TU3,20,23,LOW
TU3,20,559,MED
TU5,1,6628,HIGH
TU5,1,15,LOW
TU5,1,386,MED
TU5,2,6664,HIGH
TU5,2,386,MED
TU5,2,16,LOW
TU5,3,6682,HIGH
TU5,3,388,MED
TU5,3,15,LOW
TU5,4,6692,HIGH
TU5,4,388,MED
TU5,4,17,LOW
TU5,5,390,MED
TU5,5,17,LOW
TU5,5,6701,HIGH
TU5,6,16,LOW
TU5,6,390,MED
TU5,6,6708,HIGH
TU5,7,6713,HIGH
TU5,7,390,MED
TU5,7,17,LOW
TU5,8,390,MED
TU5,8,16,LOW
TU5,8,6718,HIGH
TU5,9,389,MED
TU5,9,17,LOW
TU5,9,6722,HIGH
TU5,10,16,LOW
TU5,10,391,MED
TU5,10,6725,HIGH
TU5,11,391,MED
TU5,11,17,LOW
TU5,11,6724,HIGH
TU5,12,17,LOW
TU5,12,391,MED
TU5,12,6730,HIGH
TU5,13,16,LOW
TU5,13,392,MED
TU5,13,6733,HIGH
TU5,14,391,MED
TU5,14,17,LOW
TU5,14,6734,HIGH
TU5,15,6738,HIGH
TU5,15,17,LOW
TU5,15,392,MED
TU5,16,17,LOW
TU5,16,392,MED
TU5,16,6735,HIGH
TU5,17,16,LOW
TU5,17,392,MED
TU5,17,6741,HIGH
TU5,18,391,MED
TU5,18,17,LOW
TU5,18,6742,HIGH
TU5,19,392,MED
TU5,19,17,LOW
TU5,19,6739,HIGH
TU5,20,6743,HIGH
TU5,20,17,LOW
TU5,20,392,MED
emptybox,1,811,HIGH
emptybox,1,48,MED
emptybox,1,2,LOW
emptybox,1,18660,MAX
emptybox,2,816,HIGH
emptybox,2,18832,MAX
emptybox,2,2,LOW
emptybox,2,48,MED
emptybox,3,48,MED
emptybox,3,3,LOW
emptybox,3,18904,MAX
emptybox,3,818,HIGH
emptybox,4,18938,MAX
emptybox,4,49,MED
emptybox,4,2,LOW
emptybox,4,819,HIGH
emptybox,5,49,MED
emptybox,5,2,LOW
emptybox,5,18965,MAX
emptybox,5,821,HIGH
emptybox,6,18981,MAX
emptybox,6,48,MED
emptybox,6,3,LOW
emptybox,6,821,HIGH
emptybox,7,822,HIGH
emptybox,7,18996,MAX
emptybox,7,2,LOW
emptybox,7,49,MED
emptybox,8,823,HIGH
emptybox,8,19002,MAX
emptybox,8,1,LOW
emptybox,8,49,MED
emptybox,9,49,MED
emptybox,9,1,LOW
emptybox,9,19028,MAX
emptybox,9,824,HIGH
emptybox,10,824,HIGH
emptybox,10,19032,MAX
emptybox,10,1,LOW
emptybox,10,49,MED
emptybox,11,824,HIGH
emptybox,11,49,MED
emptybox,11,3,LOW
