name,seqid,value,gain
# 26.06.2018
# Modified device: filter is now adjacent to sensor board -> sensor board is 1mm further from sample
# Integration time: 600ms
# Taking 10 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# Text marker test, two-fold serial dilution, 1: pure text marker
# Filter: 510nm acrylic
emptybox,1,20325,MAX
emptybox,1,878,HIGH
emptybox,1,42,MED
emptybox,1,1,LOW
emptybox,2,20461,MAX
emptybox,2,883,HIGH
emptybox,2,42,MED
emptybox,2,1,LOW
emptybox,3,20487,MAX
emptybox,3,885,HIGH
emptybox,3,42,MED
emptybox,3,1,LOW
emptybox,4,20542,MAX
emptybox,4,886,HIGH
emptybox,4,42,MED
emptybox,4,1,LOW
emptybox,5,20567,MAX
emptybox,5,888,HIGH
emptybox,5,42,MED
emptybox,5,1,LOW
emptybox,6,20593,MAX
emptybox,6,889,HIGH
emptybox,6,42,MED
emptybox,6,1,LOW
emptybox,7,20623,MAX
emptybox,7,889,HIGH
emptybox,7,42,MED
emptybox,7,1,LOW
emptybox,8,20639,MAX
emptybox,8,890,HIGH
emptybox,8,42,MED
emptybox,8,1,LOW
emptybox,9,20649,MAX
emptybox,9,891,HIGH
emptybox,9,42,MED
emptybox,9,1,LOW
emptybox,10,20666,MAX
emptybox,10,891,HIGH
emptybox,10,42,MED
emptybox,10,1,LOW
emptytube,1,22016,HIGH
emptytube,1,1284,MED
emptytube,1,53,LOW
emptytube,2,22144,HIGH
emptytube,2,1289,MED
emptytube,2,53,LOW
emptytube,3,22208,HIGH
emptytube,3,1293,MED
emptytube,3,53,LOW
emptytube,4,22250,HIGH
emptytube,4,1295,MED
emptytube,4,53,LOW
emptytube,5,22286,HIGH
emptytube,5,1297,MED
emptytube,5,53,LOW
emptytube,6,22312,HIGH
emptytube,6,1298,MED
emptytube,6,54,LOW
emptytube,7,22334,HIGH
emptytube,7,1299,MED
emptytube,7,54,LOW
emptytube,8,22359,HIGH
emptytube,8,1300,MED
emptytube,8,54,LOW
emptytube,9,22375,HIGH
emptytube,9,1302,MED
emptytube,9,54,LOW
emptytube,10,22388,HIGH
emptytube,10,1302,MED
emptytube,10,54,LOW
water,1,7064,HIGH
water,1,402,MED
water,1,16,LOW
water,2,7099,HIGH
water,2,402,MED
water,2,16,LOW
water,3,7118,HIGH
water,3,404,MED
water,3,16,LOW
water,4,7131,HIGH
water,4,405,MED
water,4,16,LOW
water,5,7140,HIGH
water,5,405,MED
water,5,16,LOW
water,6,7148,HIGH
water,6,405,MED
water,6,16,LOW
water,7,7154,HIGH
water,7,406,MED
water,7,16,LOW
water,8,7160,HIGH
water,8,406,MED
water,8,16,LOW
water,9,7165,HIGH
water,9,407,MED
water,9,16,LOW
water,10,7170,HIGH
water,10,406,MED
water,10,16,LOW
S6,1,9345,MED
S6,1,388,LOW
S6,2,9379,MED
S6,2,389,LOW
S6,3,9396,MED
S6,3,390,LOW
S6,4,9403,MED
S6,4,390,LOW
S6,5,9414,MED
S6,5,390,LOW
S6,6,9415,MED
S6,6,391,LOW
S6,7,9419,MED
S6,7,391,LOW
S6,8,9420,MED
S6,8,391,LOW
S6,9,9423,MED
S6,9,391,LOW
S6,10,9426,MED
S6,10,391,LOW
S7,1,8233,MED
S7,1,342,LOW
S7,2,8258,MED
S7,2,342,LOW
S7,3,8269,MED
S7,3,343,LOW
S7,4,8276,MED
S7,4,343,LOW
S7,5,8277,MED
S7,5,343,LOW
S7,6,8280,MED
S7,6,343,LOW
S7,7,8282,MED
S7,7,343,LOW
S7,8,8283,MED
S7,8,343,LOW
S7,9,8285,MED
S7,9,343,LOW
S7,10,8284,MED
S7,10,343,LOW
